Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
gntR,3577731,3578726,996,-,b3438,Y,N,NE,NE,868,363.32 ,860,391.41 ,NE,1391,102.71,1356,108.87,NE
yhhW,3578950,3579645,696,-,b3439,Y,N,NE,NE,93,55.71 ,81,52.76 ,NE,649,68.58,641,73.66,NE
yhhX,3579768,3580805,1038,-,b3440,Y,N,NE,NE,179,71.89 ,178,77.79 ,NE,521,36.91,516,39.78,NE
ryhB,3580927,3581016,90,-,b4451,N,N,NE,NE,7,32.43 ,7,35.59 ,NE,60,49.03,60,53.81,NE
yhhY,3581138,3581626,489,+,b3441,Y,N,NE,NE,624,531.99 ,598,555.25 ,NE,1985,298.54,1903,311.71,NE
yhhZ,3581863,3583041,1179,+,b3442,Y,N,NE,NE,13,4.60 ,13,5.00 ,NE,68,4.24,68,4.62,NE
yrhA,3583038,3584309,1272,+,b3443,Y,Y,NE,NE,266,87.18 ,266,94.62 ,NE,3093,178.83,3093,194.09,NE
insA,3583483,3583758,276,+,b3444,Y,N,NE,E,31,46.83 ,12,19.85 ,NE,83,22.12,45,13.13,NE
insB1,3583677,3584180,504,+,b3445,Y,N,NE,NE,259,214.24 ,253,227.32 ,NE,2890,421.72,2870,454.90,NE
yrhB,3584759,3585043,285,+,b3446,Y,N,NE,NE,5,7.31 ,5,7.99 ,NE,110,28.39,107,30.15,NE
ggt,3585081,3586823,1743,-,b3447,Y,N,NE,NE,572,136.81 ,546,142.00 ,NE,2353,99.28,2290,105.06,NE
yhhA,3586943,3587383,441,+,b3448,Y,N,NE,NE,292,276.04 ,284,292.34 ,NE,3161,527.16,3151,572.20,NE
ugpQ,3587370,3588113,744,-,b3449,Y,N,NE,NE,1657,928.50 ,1569,956.31 ,NE,4282,423.28,4105,441.38,NE
ugpC,3588110,3589180,1071,-,b3450,Y,N,NE,NE,537,209.03 ,428,180.78 ,NE,3322,228.12,3252,242.32,NE
ugpE,3589182,3590027,846,-,b3451,Y,N,NE,NE,125,61.60 ,119,63.77 ,NE,562,48.86,407,38.47,NE
ugpA,3590024,3590911,888,-,b3452,Y,N,NE,NE,540,253.52 ,538,274.87 ,NE,1034,85.64,1028,92.65,NE
ugpB,3591009,3592325,1317,-,b3453,Y,N,NE,NE,515,163.02 ,456,156.72 ,NE,3181,177.64,2794,169.40,NE
livF,3592724,3593437,714,-,b3454,Y,N,NE,NE,245,143.05 ,204,129.25 ,NE,1253,129.06,851,95.12,NE
livG,3593439,3594206,768,-,b3455,Y,N,NE,NE,919,498.87 ,867,510.52 ,NE,4964,475.36,4938,512.95,NE
livM,3594203,3595480,1278,-,b3456,Y,N,NE,NE,766,249.88 ,734,260.65 ,NE,10917,628.24,10750,673.43,NE
livH,3595477,3596403,927,-,b3457,Y,N,NE,NE,1821,818.96 ,1650,808.32 ,NE,7108,563.92,5177,447.41,NE
livK,3596451,3597560,1110,-,b3458,Y,N,NE,NE,442,166.01 ,437,178.26 ,NE,2655,175.91,2567,184.73,NE
panM,3597984,3598367,384,+,b3459,Y,N,NE,NE,29,31.48 ,24,28.42 ,NE,17,3.26,6,1.25,E
livJ,3598555,3599658,1104,-,b3460,Y,N,NE,NE,631,238.28 ,628,257.69 ,NE,2131,141.96,2090,151.29,NE
rpoH,3599929,3600783,855,-,b3461,Y,N,E,E,22,10.73 ,6,3.18 ,NE,46,3.96,44,4.11,NE
ftsX,3601028,3602086,1059,-,b3462,Y,N,E,NE,14,5.51 ,14,5.99 ,NE,62,4.31,61,4.60,NE
ftsE,3602079,3602747,669,-,b3463,Y,N,E,E,20,12.46 ,18,12.16 ,NE,22,2.42,11,1.31,E
ftsY,3602750,3604243,1494,-,b3464,Y,N,E,E,3,0.84 ,3,0.91 ,E,23,1.13,19,1.02,E
rsmD,3604393,3604989,597,+,b3465,Y,N,NE,E,917,640.36 ,876,665.22 ,NE,3177,391.38,3107,416.22,NE
yhhL,3604979,3605248,270,+,b3466,Y,N,NE,E,157,242.42 ,152,253.47 ,NE,420,114.40,401,117.97,NE
yhhM,3605251,3605610,360,-,b3467,Y,N,NE,E,185,214.24 ,182,228.54 ,NE,1823,372.42,1617,358.20,NE
yhhN,3605751,3606377,627,+,b3468,Y,N,NE,NE,1056,702.15 ,1017,737.37 ,NE,8293,972.74,8097,1035.64,NE
zntA,3606451,3608649,2199,+,b3469,Y,N,NE,NE,12974,2459.68 ,12551,2586.50 ,NE,36425,1218.23,35014,1272.91,NE
tusA,3608751,3608996,246,-,b3470,Y,N,NE,NE,53,89.82 ,47,86.70 ,NE,8,2.39,7,2.28,NE
yhhQ,3609217,3609882,666,+,b3471,Y,N,NE,NE,1715,1073.55 ,1703,1156.32 ,NE,5033,555.78,4971,595.43,NE
dcrB,3609955,3610512,558,+,b3472,Y,N,NE,NE,2506,1872.31 ,2473,2005.82 ,NE,7209,950.15,7201,1030.35,NE
yhhS,3610516,3611733,1218,-,b3473,Y,N,NE,NE,3798,1299.99 ,3588,1333.18 ,NE,41738,2520.22,41438,2716.18,NE
yhhT,3611865,3612914,1050,+,b3474,Y,N,NE,NE,941,373.62 ,886,382.37 ,NE,7938,556.00,7743,589.50,NE
acpT,3612969,3613556,588,+,b3475,Y,N,NE,NE,1004,711.85 ,822,634.61 ,NE,4371,546.71,3152,429.29,NE
nikA,3613667,3615241,1575,+,b3476,Y,N,NE,NE,1332,352.58 ,1229,354.09 ,NE,7534,351.80,7343,373.21,NE
nikB,3615241,3616185,945,+,b3477,Y,N,NE,NE,2236,986.44 ,2204,1057.36 ,NE,9464,736.54,9316,788.43,NE
nikC,3616182,3617015,834,+,b3478,Y,N,NE,NE,2021,1010.26 ,1707,929.04 ,NE,12150,1071.43,10913,1047.78,NE
nikD,3617015,3617779,765,+,b3479,Y,N,NE,NE,3421,1864.33 ,2005,1185.65 ,NE,5134,493.57,3713,387.34,NE
nikE,3617776,3618582,807,+,b3480,Y,N,NE,NE,2498,1290.48 ,2430,1363.48 ,NE,6452,588.00,6270,620.63,NE
nikR,3618588,3618989,402,+,b3481,Y,N,NE,NE,1212,1256.92 ,1202,1354.36 ,NE,2865,524.15,2862,568.88,NE
rhsB,3619192,3623427,4236,+,b3482,Y,N,NE,NE,8036,790.89 ,7988,854.77 ,NE,22633,392.95,22455,423.88,NE
yhhH,3623399,3623782,384,+,b3483,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,3,0.57,3,0.63,E
yrhC,3623887,3624237,351,+,b4552,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,1,0.21,1,0.23,E
yhhI,3624378,3625514,1137,+,b3484,Y,N,NE,NE,41,15.03 ,36,14.36 ,NE,804,52.01,795,55.95,NE
yhhJ,3625679,3626803,1125,-,b3485,Y,N,NE,NE,958,355.01 ,955,383.93 ,NE,5573,364.33,5562,394.46,NE
rbbA,3626803,3629538,2736,-,b3486,Y,N,NE,NE,2100,319.99 ,2056,340.68 ,NE,7162,192.52,6923,202.37,NE
yhiI,3629535,3630602,1068,-,b3487,Y,N,NE,NE,698,272.47 ,684,289.80 ,NE,1457,100.33,1396,104.34,NE
yhiJ,3630968,3632590,1623,-,b3488,Y,N,NE,NE,4,1.03 ,3,0.84 ,E,190,8.61,31,1.53,E
yhiL,3632852,3634458,1607,-,b4660,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,9,0.41,9,0.45,E
yhiM,3634841,3635893,1053,+,b3491,Y,N,NE,NE,262,103.73 ,254,109.28 ,NE,2325,162.39,2320,176.08,NE
yhiN,3636208,3637410,1203,-,b3492,Y,N,NE,NE,2593,898.60 ,2502,942.26 ,NE,24370,1489.85,22776,1513.15,NE
pitA,3637642,3639141,1500,+,b3493,Y,N,NE,NE,1951,542.25 ,1847,557.98 ,NE,16716,819.59,16212,863.99,NE
uspB,3639385,3639720,336,-,b3494,Y,N,NE,NE,6,7.44 ,6,8.12 ,NE,40,8.76,38,9.07,NE
uspA,3640111,3640545,435,+,b3495,Y,N,NE,NE,24,23.00 ,23,24.03 ,NE,140,23.67,35,6.45,NE
dtpB,3640862,3642331,1470,+,b3496,Y,N,NE,NE,790,224.05 ,772,237.70 ,NE,18395,920.31,18334,995.85,NE
rsmJ,3642380,3643132,753,-,b3497,Y,N,NE,NE,2084,1153.81 ,1909,1148.43 ,NE,19216,1876.81,19001,2016.49,NE
prlC,3643140,3645182,2043,-,b3498,Y,N,NE,NE,1478,301.60 ,1394,309.29 ,NE,7819,281.47,7064,276.49,NE
rlmJ,3645385,3646227,843,+,b3499,Y,N,NE,NE,66,32.64 ,50,26.90 ,NE,415,36.21,287,27.24,NE
gor,3646299,3647651,1353,+,b3500,Y,N,NE,E,1392,428.92 ,1350,452.06 ,NE,11245,611.24,11229,663.32,NE
dinQ,3647705,3647788,84,-,b4613,Y,N,NE,NE,18,89.34 ,18,98.74 ,NE,33,28.89,32,30.97,NE
agrA,3648063,3648146,84,+,b4712,N,N,NE,NE,8,39.70 ,8,43.88 ,NE,15,13.13,15,14.52,NE
agrB,3648294,3648377,84,+,b4713,N,N,NE,NE,4,19.85 ,4,21.94 ,NE,35,30.64,35,33.87,NE
arsR,3648528,3648881,354,+,b3501,Y,N,NE,NE,120,141.32 ,110,140.67 ,NE,1016,211.08,1012,228.31,NE
arsB,3648935,3650224,1290,+,b3502,Y,N,NE,NE,1038,335.46 ,996,350.11 ,NE,5666,323.03,5314,329.53,NE
arsC,3650237,3650662,426,+,b3503,Y,N,NE,NE,190,185.94 ,168,179.59 ,NE,1591,274.67,1551,292.48,NE
yhiS,3651291,3653713,2423,+,b3504,Y,Y,NE,NE,637,109.60 ,636,118.85 ,NE,5886,178.66,5886,194.03,NE
insH1,3652182,3653198,1017,-,b3505,Y,N,NE,NE,632,259.08 ,625,278.08 ,NE,5869,424.42,5791,454.54,NE
slp,3653961,3654527,567,+,b3506,Y,N,NE,E,711,522.78 ,689,549.22 ,NE,13935,1807.50,13730,1930.73,NE
dctR,3654683,3655213,531,+,b3507,Y,N,NE,NE,18,14.13 ,18,15.41 ,NE,119,16.48,119,17.97,NE
yhiD,3655255,3655902,648,-,b3508,Y,N,NE,NE,68,43.75 ,68,47.57 ,NE,3348,379.98,3343,412.52,NE
hdeB,3655966,3656292,327,-,b3509,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,73,16.42,73,17.96,NE
hdeA,3656408,3656740,333,-,b3510,Y,N,NE,NE,41,51.33 ,41,56.04 ,NE,750,165.64,750,180.85,NE
hdeD,3656995,3657567,573,+,b3511,Y,N,NE,NE,499,363.06 ,498,392.47 ,NE,3083,395.71,3077,427.78,NE
arrS,3657986,3658054,69,-,b4704,N,N,NE,NE,0,0.00 ,0,0.00 ,E,3,3.20,3,3.39,NE
gadE,3658366,3658893,528,+,b3512,Y,N,NE,NE,2,1.58 ,0,0.00 ,E,57,7.94,6,0.91,E
mdtE,3659232,3660389,1158,+,b3513,Y,N,NE,NE,307,110.53 ,298,116.54 ,NE,1471,93.42,1448,99.90,NE
mdtF,3660414,3663527,3114,+,b3514,Y,N,NE,NE,744,99.61 ,680,98.92 ,NE,6262,147.89,6007,154.15,NE
gadW,3663890,3664618,729,-,b3515,Y,N,NE,NE,112,64.05 ,110,68.55 ,NE,883,89.08,874,96.08,NE
gadY,3664864,3664968,105,+,b4452,N,N,NE,NE,0,0.00 ,0,0.00 ,E,3,2.10,3,2.27,NE
gadX,3664986,3665810,825,-,b3516,Y,N,NE,NE,127,64.18 ,125,68.48 ,NE,594,52.95,594,57.41,NE
gadA,3666180,3667580,1401,-,b3517,Y,N,NE,NE,2995,891.23 ,1946,629.39 ,NE,7081,371.71,6040,344.62,NE
yhjA,3667791,3669188,1398,-,b3518,Y,N,NE,NE,1802,537.38 ,1754,568.62 ,NE,10912,574.05,10277,587.73,NE
treF,3669592,3671241,1650,+,b3519,Y,N,NE,NE,827,208.95 ,584,160.39 ,NE,6486,289.10,5694,275.87,NE
yhjB,3671292,3671894,603,-,b3520,Y,N,NE,NE,236,163.16 ,226,169.76 ,NE,1162,141.72,1123,148.81,NE
yhjC,3672414,3673313,900,+,b3521,Y,N,NE,NE,413,191.31 ,328,165.15 ,NE,6034,493.08,4503,399.97,NE
yhjD,3673362,3674375,1014,+,b3522,Y,N,NE,NE,501,205.98 ,478,213.36 ,NE,3862,280.11,3593,282.92,NE
yhjE,3674786,3676108,1323,+,b3523,Y,N,NE,NE,2476,780.23 ,2449,837.56 ,NE,22272,1238.09,22115,1334.25,NE
yhjG,3676290,3678350,2061,-,b3524,Y,N,NE,NE,1594,322.43 ,1539,338.22 ,NE,4447,158.69,3073,119.14,NE
yhjH,3678420,3679187,768,-,b3525,Y,N,NE,NE,72,39.08 ,72,42.40 ,NE,1107,106.01,1106,114.89,NE
kdgK,3679419,3680348,930,+,b3526,Y,N,NE,NE,447,200.38 ,398,194.29 ,NE,3383,267.53,2175,187.31,NE
yhjJ,3680444,3681940,1497,-,b3527,Y,N,NE,NE,636,177.12 ,613,185.59 ,NE,23744,1166.50,23655,1263.40,NE
dctA,3682161,3683447,1287,-,b3528,Y,N,NE,NE,1256,406.86 ,1240,436.99 ,NE,6612,377.84,6598,410.19,NE
yhjK,3683630,3685618,1989,-,b3529,Y,N,NE,NE,628,131.63 ,563,128.33 ,NE,2319,85.75,1972,79.30,NE
bcsC,3685700,3689173,3474,-,b3530,Y,N,NE,NE,7937,952.48 ,7881,1027.39 ,NE,18776,397.49,18536,426.28,NE
bcsZ,3689155,3690261,1107,-,b3531,Y,N,NE,NE,2245,845.47 ,1726,706.15 ,NE,12032,799.36,6804,491.07,NE
bcsB,3690268,3692607,2340,-,b3532,Y,N,NE,NE,2952,525.93 ,1751,339.21 ,NE,21531,676.71,8615,294.42,NE
bcsA,3692618,3695236,2619,-,b3533,Y,N,NE,NE,4276,680.66 ,4141,716.04 ,NE,16107,452.31,15613,476.26,NE
bcsQ,3695233,3695985,753,-,b3534,Y,Y,NE,NE,763,422.44 ,596,358.55 ,NE,4409,430.62,3525,374.09,NE
yhjR,3695997,3696185,189,-,b3535,Y,N,NE,NE,29,63.97 ,29,69.88 ,NE,235,91.44,235,99.90,NE
bcsE,3696458,3698029,1572,+,b3536,Y,N,NE,NE,1513,401.25 ,1176,338.59 ,NE,6540,305.97,4088,207.63,NE
bcsF,3698026,3698217,192,+,b3537,Y,N,NE,NE,18,39.08 ,18,42.64 ,NE,68,26.05,68,28.42,NE
bcsG,3698214,3699893,1680,+,b3538,Y,N,NE,NE,1199,297.54 ,1195,322.66 ,NE,8536,373.68,8515,405.59,NE
ldrD,3699980,3700087,108,-,b4453,Y,N,NE,NE,6,23.16 ,6,25.01 ,NE,30,20.43,30,22.06,NE
rdlD,3700136,3700201,66,+,b4454,N,N,NE,NE,16,101.07 ,16,107.59 ,NE,121,134.83,121,143.53,NE
yhjV,3700563,3701834,1272,+,b3539,Y,N,NE,NE,1159,379.86 ,1158,411.92 ,NE,6090,352.11,6073,381.09,NE
dppF,3701864,3702868,1005,-,b3540,Y,N,NE,NE,173,71.76 ,133,59.94 ,NE,280,20.49,261,20.75,NE
dppD,3702865,3703848,984,-,b3541,Y,N,NE,NE,1999,846.93 ,1960,903.90 ,NE,2655,198.44,2645,215.18,NE
dppC,3703859,3704761,903,-,b3542,Y,N,NE,NE,3165,1461.22 ,3077,1543.68 ,NE,14214,1157.66,11873,1050.78,NE
dppB,3704771,3705790,1020,-,b3543,Y,N,NE,NE,850,347.42 ,832,369.00 ,NE,13924,1003.96,13851,1083.69,NE
dppA,3706098,3707705,1608,-,b3544,Y,N,NE,NE,129,33.45 ,127,35.77 ,NE,980,44.82,980,48.70,NE
proK,3708616,3708692,77,-,b3545,N,N,NE,NE,8,43.31 ,8,48.34 ,NE,2,1.91,2,2.13,E
eptB,3708784,3710475,1692,-,b3546,Y,N,NE,NE,191,47.06 ,188,50.37 ,NE,1263,54.90,1262,59.65,NE
yhjX,3710799,3712007,1209,-,b3547,Y,N,NE,NE,624,215.17 ,583,218.38 ,NE,8262,502.59,7685,507.81,NE
yhjY,3712236,3712934,699,-,b3548,Y,N,NE,NE,825,492.05 ,818,530.36 ,NE,4302,452.63,4278,489.31,NE
tag,3713092,3713655,564,+,b3549,Y,N,NE,NE,69,51.00 ,64,51.31 ,NE,773,100.80,742,104.94,NE
yiaC,3713652,3714092,441,+,b3550,Y,N,NE,NE,716,676.87 ,641,659.83 ,NE,3542,590.70,2816,511.36,NE
bisC,3714061,3716394,2334,-,b3551,Y,N,NE,NE,1209,215.95 ,871,169.21 ,NE,10367,326.67,8856,303.50,NE
yiaD,3716547,3717206,660,+,b3552,Y,N,NE,NE,1618,1022.03 ,1600,1097.10 ,NE,7167,798.63,7082,856.65,NE
ghrB,3717310,3718284,975,+,b3553,Y,N,NE,NE,346,147.95 ,302,140.67 ,NE,1739,131.17,1651,135.67,NE
yiaF,3718334,3719044,711,-,b3554,Y,N,NE,NE,851,498.99 ,825,525.10 ,NE,4102,424.31,4080,458.11,NE
yiaG,3719478,3719768,291,+,b3555,Y,N,NE,NE,3,4.30 ,3,4.68 ,NE,7,1.77,7,1.93,E
cspA,3720049,3720261,213,+,b3556,Y,N,NE,NE,10,19.57 ,10,21.16 ,NE,166,57.32,165,61.60,NE
mokA,3720448,3720632,185,-,b4647,Y,Y,NE,NE,34,76.62 ,34,83.87 ,NE,878,349.04,877,381.65,NE
hokA,3720448,3720600,153,-,b4455,Y,N,NE,NE,26,70.85 ,26,76.87 ,NE,708,340.33,707,368.77,NE
insJ,3720680,3721201,522,+,b3557,Y,N,NE,NE,64,51.11 ,64,55.36 ,NE,720,101.44,720,109.86,NE
insK,3721198,3722049,852,+,b3558,Y,N,NE,NE,4,1.96 ,4,2.13 ,E,20,1.73,17,1.59,E
sokA,3722076,3722105,30,+,b4614,N,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
glyS,3722328,3724397,2070,-,b3559,Y,N,E,E,9,1.81 ,6,1.31 ,E,61,2.17,58,2.24,NE
glyQ,3724407,3725318,912,-,b3560,Y,N,E,E,4,1.83 ,4,1.99 ,E,13,1.05,13,1.14,E
ysaB,3725413,3725712,300,-,b4553,Y,N,NE,NE,52,72.26 ,48,72.50 ,NE,126,30.89,125,33.31,NE
wecH,3725887,3726882,996,+,b3561,Y,N,NE,NE,3184,1332.74 ,3072,1398.16 ,NE,11350,838.09,11147,894.99,NE
yiaA,3726924,3727361,438,-,b3562,Y,N,NE,NE,6,5.71 ,6,6.22 ,NE,34,5.71,33,6.04,NE
yiaB,3727407,3727748,342,-,b3563,Y,N,NE,NE,83,101.18 ,83,110.20 ,NE,277,59.57,274,64.18,NE
xylB,3727917,3729371,1455,-,b3564,Y,N,NE,NE,1021,292.55 ,1013,315.40 ,NE,4734,239.29,4707,258.53,NE
xylA,3729443,3730765,1323,-,b3565,Y,N,NE,NE,651,205.14 ,644,220.25 ,NE,2733,151.93,2666,160.85,NE
xylF,3731131,3732123,993,+,b3566,Y,N,NE,NE,28,11.76 ,26,11.87 ,NE,925,68.51,918,73.95,NE
xylG,3732201,3733742,1542,+,b3567,Y,N,NE,NE,181,48.94 ,125,36.75 ,NE,1315,62.72,1135,58.87,NE
xylH,3733720,3734901,1182,+,b3568,Y,N,NE,NE,659,232.43 ,600,230.33 ,NE,3955,246.08,3654,247.45,NE
xylR,3734979,3736157,1179,+,b3569,Y,N,NE,NE,77,27.23 ,76,29.26 ,NE,254,15.84,235,15.96,NE
bax,3736353,3737177,825,-,b3570,Y,N,NE,NE,278,140.48 ,277,151.75 ,NE,1705,151.99,1705,164.78,NE
malS,3737497,3739527,2031,+,b3571,Y,N,NE,NE,1307,268.29 ,1253,279.79 ,NE,6065,219.62,5953,234.50,NE
avtA,3739705,3740958,1254,+,b3572,Y,N,NE,NE,864,287.24 ,857,309.60 ,NE,5627,330.01,5617,357.97,NE
ysaA,3741109,3741582,474,-,b3573,Y,N,NE,NE,189,166.23 ,188,178.94 ,NE,2160,335.14,2160,362.69,NE
yiaJ,3741684,3742532,849,-,b3574,Y,N,NE,NE,58,28.48 ,54,28.83 ,NE,2248,194.73,2246,211.50,NE
yiaK,3742733,3743731,999,+,b3575,Y,N,NE,NE,261,108.92 ,221,100.26 ,NE,2100,154.60,1837,147.01,NE
yiaL,3743743,3744210,468,+,b3576,Y,N,NE,NE,59,52.56 ,57,55.01 ,NE,182,28.60,169,28.77,NE
yiaM,3744328,3744801,474,+,b3577,Y,N,NE,NE,314,276.17 ,310,295.07 ,NE,2037,316.06,1906,320.04,NE
yiaN,3744804,3746081,1278,+,b3578,Y,N,NE,NE,502,163.76 ,470,166.90 ,NE,6730,387.29,6368,398.92,NE
yiaO,3746094,3747080,987,+,b3579,Y,N,NE,NE,557,235.27 ,522,239.94 ,NE,4864,362.43,4561,369.83,NE
lyxK,3747084,3748580,1497,+,b3580,Y,N,NE,NE,712,198.28 ,566,171.36 ,NE,4488,220.49,4057,216.68,NE
sgbH,3748577,3749239,663,+,b3581,Y,N,NE,NE,703,442.05 ,569,388.24 ,NE,4492,498.29,4082,491.34,NE
sgbU,3749232,3750092,861,+,b3582,Y,N,NE,NE,412,199.49 ,392,206.08 ,NE,2230,190.48,2124,196.99,NE
sgbE,3750086,3750781,696,+,b3583,Y,N,NE,NE,1012,606.18 ,998,650.10 ,NE,3361,355.15,3327,382.32,NE
ysaC,3750813,3750914,102,-,b4648,Y,Y,NE,NE,8,32.70 ,8,35.48 ,NE,156,112.48,156,122.05,NE
ysaD,3750918,3751109,192,+,b4649,Y,Y,NE,NE,214,464.67 ,206,487.96 ,NE,775,296.86,772,322.60,NE
yiaT,3751128,3751868,741,-,b3584,Y,N,NE,NE,154,86.64 ,153,93.66 ,NE,3166,314.23,3162,341.48,NE
yiaU,3751992,3752966,975,+,b3585,Y,N,NE,NE,631,269.81 ,623,290.20 ,NE,7527,567.77,7422,609.89,NE
yiaV,3752963,3754099,1137,-,b3586,Y,N,NE,NE,605,221.83 ,565,225.40 ,NE,3234,209.19,2997,210.92,NE
yiaW,3754105,3754428,324,-,b3587,Y,N,NE,NE,19,24.45 ,16,22.23 ,NE,287,65.15,252,61.78,NE
aldB,3754973,3756511,1539,-,b3588,Y,N,NE,NE,1284,347.82 ,1265,372.70 ,NE,6099,291.46,6019,312.84,NE
yiaY,3756676,3757827,1152,-,b3589,Y,N,NE,NE,310,112.19 ,310,121.92 ,NE,4524,288.82,4523,313.82,NE
selB,3758017,3759861,1845,-,b3590,Y,N,NE,NE,4086,923.28 ,4031,990.29 ,NE,21791,868.63,21602,936.19,NE
selA,3759858,3761249,1392,-,b3591,Y,N,NE,NE,1172,351.01 ,988,321.79 ,NE,1751,92.51,1618,92.97,NE
yibF,3761347,3761955,609,-,b3592,Y,N,NE,NE,664,454.55 ,654,486.01 ,NE,3829,462.40,3726,488.46,NE
rhsA,3762183,3766316,4134,+,b3593,Y,N,NE,NE,7984,805.16 ,7936,870.20 ,NE,23031,409.73,22812,441.27,NE
yibA,3766337,3767179,843,+,b3594,Y,N,NE,E,19,9.40 ,2,1.08 ,E,36,3.14,9,0.85,E
rhsJ,3767221,3768165,945,+,b3595,Y,Y,NE,NE,1323,583.66 ,1322,634.22 ,NE,6589,512.79,6552,554.51,NE
yibG,3768177,3768638,462,+,b3596,Y,N,NE,E,0,0.00 ,0,0.00 ,E,62,9.87,62,10.70,NE
yibS,3768639,3768890,252,+,b4650,Y,Y,NE,NE,3,4.96 ,3,5.39 ,NE,177,51.66,177,56.11,NE
yibW,3768892,3769256,365,+,b4651,Y,Y,NE,NE,1,1.14 ,1,1.24 ,E,3,0.60,3,0.65,E
yibV,3769345,3769783,439,+,b4615,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yibU,3769948,3770146,199,+,b4652,Y,Y,NE,NE,1,2.09 ,1,2.28 ,NE,13,4.80,13,5.22,NE
yibH,3770243,3771379,1137,-,b3597,Y,N,NE,NE,1881,689.70 ,1833,731.27 ,NE,5054,326.91,4798,337.67,NE
yibI,3771382,3771744,363,-,b3598,Y,N,NE,NE,344,395.08 ,342,425.61 ,NE,1571,318.29,1508,331.06,NE
mtlA,3772281,3774194,1914,+,b3599,Y,N,NE,NE,1320,287.52 ,1291,305.46 ,NE,8170,313.93,7455,311.17,NE
mtlD,3774424,3775572,1149,+,b3600,Y,N,NE,NE,282,102.32 ,120,47.33 ,NE,2048,131.09,1557,108.33,NE
mtlR,3775572,3776159,588,+,b3601,Y,N,NE,NE,450,319.06 ,309,238.56 ,NE,2124,265.66,2025,275.79,NE
yibT,3776171,3776380,210,-,b4554,Y,N,NE,NE,1,1.99 ,1,2.15 ,E,21,7.35,2,0.76,E
yibL,3776665,3777027,363,+,b3602,Y,N,NE,NE,49,56.28 ,49,60.98 ,NE,398,80.64,387,84.96,NE
lldP,3777399,3779054,1656,+,b3603,Y,N,NE,NE,1792,451.14 ,1681,459.85 ,NE,11654,517.57,11455,552.79,NE
lldR,3779054,3779830,777,+,b3604,Y,N,NE,NE,201,107.85 ,196,114.60 ,NE,221,20.92,198,20.42,NE
lldD,3779827,3781017,1191,+,b3605,Y,N,NE,NE,1008,352.84 ,979,372.73 ,NE,4760,293.93,4626,310.70,NE
trmL,3781215,3781688,474,+,b3606,Y,N,NE,NE,567,498.70 ,548,521.60 ,NE,1208,187.43,1149,192.93,NE
cysE,3781741,3782562,822,-,b3607,Y,N,NE,E,70,35.50 ,41,22.55 ,NE,61,5.46,16,1.55,E
gpsA,3782642,3783661,1020,-,b3608,Y,N,E,NE,71,29.02 ,55,24.39 ,NE,47,3.39,31,2.43,NE
secB,3783661,3784128,468,-,b3609,Y,N,NE,E,3,2.67 ,2,1.93 ,E,27,4.24,10,1.70,E
grxC,3784191,3784442,252,-,b3610,Y,N,NE,NE,34,56.25 ,34,61.10 ,NE,236,68.88,236,74.81,NE
yibN,3784584,3785015,432,-,b3611,Y,N,NE,NE,472,455.50 ,472,496.91 ,NE,5049,859.56,5049,937.70,NE
gpmM,3785260,3786804,1545,+,b3612,Y,N,NE,NE,466,125.74 ,466,136.72 ,NE,1874,89.21,1871,96.84,NE
envC,3786838,3788097,1260,+,b3613,Y,N,NE,NE,666,220.36 ,137,49.24 ,NE,1001,58.43,160,10.14,NE
yibQ,3788101,3789060,960,+,b3614,Y,N,NE,NE,750,325.70 ,692,326.35 ,NE,5651,432.92,5605,466.31,NE
waaH,3789047,3790081,1035,-,b3615,Y,N,NE,NE,337,135.74 ,325,142.47 ,NE,1109,78.80,1082,83.68,NE
tdh,3790320,3791345,1026,-,b3616,Y,N,NE,NE,513,208.45 ,507,224.38 ,NE,3365,241.21,3316,258.89,NE
kbl,3791355,3792551,1197,-,b3617,Y,N,NE,NE,435,151.50 ,432,163.58 ,NE,2925,179.72,2916,194.78,NE
yibB,3792826,3793683,858,-,b3618,Y,N,NE,NE,2,0.97 ,2,1.06 ,E,13,1.11,12,1.12,E
hldD,3793987,3794919,933,+,b3619,Y,N,NE,NE,39,17.43 ,17,8.27 ,NE,66,5.20,14,1.20,E
waaF,3794929,3795975,1047,+,b3620,Y,N,NE,NE,1014,403.76 ,1001,433.35 ,NE,48,3.37,46,3.51,NE
waaC,3795979,3796938,960,+,b3621,Y,N,NE,E,818,355.23 ,808,381.06 ,NE,19,1.46,19,1.58,E
waaL,3796948,3798207,1260,+,b3622,Y,N,NE,NE,19,6.29 ,8,2.88 ,NE,171,9.98,138,8.75,NE
waaU,3798239,3799312,1074,-,b3623,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,5,0.34,5,0.37,E
waaZ,3799345,3800196,852,-,b3624,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,0.17,2,0.19,E
